SETTINGS:
SimulateBool,DiskPlotBool,TrajectoryBool,VecPlotBool,XYCrossBool,XZCrossBool,BFieldTests,TimeDirection,Relativistic,HaloFieldBool,XFieldBool,DiskFieldBool,StopRadius,StopRadiusSensitivity,StopDistance,TimeoutSeconds,RelativisticVelThreshold,PrintStatus
True,False,False,False,False,False,False,1,True,True,True,True,20.01,0.1,-1,60,0.15,False

RUN DATA:
run #,mass,time (Y.m.d.H.M.S),dt,q_b,pos0[x],pos0[y],pos0[z],vel0[x],vel0[y],vel0[z],posF[x],posF[y],posF[z],velF[x],velF[y],velF[z],distanceTraveled,maxVelocity,arcLengthInRho1kpcRegion,iterations
11,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,-5.4839722712378893e-14,-6.8694393820459385e-14,-1.0559054900847185e-13,-11.864556453313027,-10.866296692099498,11.898886425474149,-6.7019249651237561e-14,-7.9503898462703026e-14,-8.405470594229493e-14,5.2908675782291628,1.3738878764091877e-13,0.0,785
12,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,1.2310796606657478e-13,-4.1216636292275622e-14,4.4958831759097323e-14,-8.2850038616228012,-8.4267454955876033,16.147783551342677,1.2083402358643558e-13,-4.3315798376819282e-14,5.0435229182255046e-14,1.3897376271858712,1.3738878764091877e-13,0.0,202
13,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,1.3670011770202344e-13,1.3738878764091878e-14,0.0,2.1740266813896612,-7.9163363264773325,18.250086467612896,1.4410899110205428e-13,-1.2314793319052113e-14,6.3092392544150633e-14,12.091481279777772,1.3738878764091877e-13,0.0,1733
14,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,1.0402103340447919e-14,6.8694393820459398e-14,-1.1852660238602871e-13,-18.212675186891385,1.9897440510610072,8.0509157186382296,-1.077140078381605e-13,4.3093749668339862e-14,3.9829371311201076e-14,19.778377218849712,1.3738878764091877e-13,0.0,3953
15,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,5.9697112325590528e-14,9.6172151348643154e-14,7.7864311814855067e-14,-8.9889986481161159,-7.1423535473009192,16.389020553469958,5.7574395036387918e-14,9.4435547417825959e-14,8.2809464772011465e-14,1.2395933938680761,1.3738878764091877e-13,0.0,180
16,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,-5.8970930039820774e-14,1.236499088768269e-13,-1.0431127188968722e-14,-11.989966570866297,-3.3497950288731393,15.667104214794367,-6.9576669307943219e-14,1.1805196521909528e-13,1.0467278129991964e-14,5.2739154149392569,1.3738878764091877e-13,0.0,772
17,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,-1.615585539080956e-12,-2.0237459962067721e-12,-3.1107116448493446e-12,-12.990902535278778,-12.35167878162255,8.9793881123445605,-1.6162971202811423e-12,-2.0243988680915869e-12,-3.1095924427652046e-12,8.7018229367661188,4.0474919924135442e-12,0.0,43
18,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,3.626777085762539e-12,-1.2142475977240631e-12,1.3244931748638381e-12,-7.522006445697901,-8.6678645758428043,16.394827307902741,3.6266644966502546e-12,-1.214352831767208e-12,1.3247671898679899e-12,2.2261250767587639,4.0474919924135442e-12,0.0,11
19,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,4.027203684241119e-12,4.0474919924135442e-13,0.0,11.023596007218586,-5.939085422608283,15.675438085868199,4.0281995740963334e-12,4.0365728898351048e-13,3.5845137626855946e-15,20.643433271812796,4.0474919924135442e-12,0.0,102
20,1.7826618400000002e-12,2017.03.20.17.09.00,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,3.0644735060011318e-13,2.0237459962067725e-12,-3.4918095012183857e-12,-6.7406439082732321,10.293853248680469,-15.900540095185169,3.1026508911997708e-13,2.0220000695559586e-12,-3.4840164257428303e-12,36.590113500747073,4.0474919924135442e-12,0.0,181
